phase duration (us),pulse rate,stimulus amplitude (uA),amplitude,run,spike times (us)
50,400,3.65,1*threshold,3,224
50,400,3.65,1*threshold,3,226
50,400,3.65,1*threshold,3,229
50,400,3.65,1*threshold,3,231
50,400,3.65,1*threshold,3,234
50,400,3.65,1*threshold,3,236
50,400,3.65,1*threshold,3,239
50,400,3.65,1*threshold,3,241
50,400,3.65,1*threshold,3,244
50,400,3.65,1*threshold,3,246
50,400,3.65,1*threshold,3,249
50,400,3.65,1*threshold,3,251
50,400,3.65,1*threshold,3,254
50,400,3.65,1*threshold,3,256
50,400,3.65,1*threshold,3,259
50,400,3.65,1*threshold,3,261
50,400,3.65,1*threshold,3,264
50,400,3.65,1*threshold,3,266
50,400,3.65,1*threshold,3,269
50,400,3.65,1*threshold,3,271
50,400,3.65,1*threshold,3,274
50,400,3.65,1*threshold,3,276
50,400,3.65,1*threshold,3,279
50,400,3.65,1*threshold,3,281
50,400,3.65,1*threshold,3,284
50,400,3.65,1*threshold,3,286
50,400,3.65,1*threshold,3,289
50,400,3.65,1*threshold,3,291
50,400,3.65,1*threshold,3,294
50,400,3.65,1*threshold,3,296
50,400,3.65,1*threshold,4,1
50,400,3.65,1*threshold,4,4
50,400,3.65,1*threshold,4,6
50,400,3.65,1*threshold,4,9
50,400,3.65,1*threshold,4,11
50,400,3.65,1*threshold,4,14
50,400,3.65,1*threshold,4,16
50,400,3.65,1*threshold,4,19
50,400,3.65,1*threshold,4,21
50,400,3.65,1*threshold,4,24
50,400,3.65,1*threshold,4,26
50,400,3.65,1*threshold,4,29
50,400,3.65,1*threshold,4,31
50,400,3.65,1*threshold,4,34
50,400,3.65,1*threshold,4,36
50,400,3.65,1*threshold,4,39
50,400,3.65,1*threshold,4,41
50,400,3.65,1*threshold,4,44
50,400,3.65,1*threshold,4,46
50,400,3.65,1*threshold,4,49
50,400,3.65,1*threshold,4,51
50,400,3.65,1*threshold,4,54
50,400,3.65,1*threshold,4,56
50,400,3.65,1*threshold,4,59
50,400,3.65,1*threshold,4,61
50,400,3.65,1*threshold,4,64
50,400,3.65,1*threshold,4,66
50,400,3.65,1*threshold,4,69
50,400,3.65,1*threshold,4,71
50,400,3.65,1*threshold,4,74
50,400,3.65,1*threshold,4,76
50,400,3.65,1*threshold,4,79
