measurement_node,electrode distance (um),model,stimulus amplitude (uA),latency (ms),amplitude level
59,500,rattay_01,46.25820862619502,2.5449999999999995,4.578947368421052
59,500,rattay_01,48.38502281590513,2.5379999999999994,4.789473684210526
59,500,rattay_01,50.511837005615256,2.5300000000000002,5.0
59,700,rattay_01,26.602649688720707,2.7989999999999995,1.0
59,700,rattay_01,32.203207517925065,2.631,1.2105263157894737
59,700,rattay_01,37.80376534712943,2.6169999999999995,1.4210526315789473
59,700,rattay_01,43.40432317633378,2.606,1.631578947368421
59,700,rattay_01,49.004881005538145,2.593,1.8421052631578947
59,700,rattay_01,54.60543883474249,2.5769999999999995,2.052631578947368
59,700,rattay_01,60.205996663946856,2.554,2.263157894736842
59,700,rattay_01,65.80655449315122,2.523999999999999,2.473684210526316
59,700,rattay_01,71.40711232235557,2.483,2.6842105263157894
59,700,rattay_01,77.00767015155992,2.418,2.894736842105263
59,700,rattay_01,82.6082279807643,2.312,3.1052631578947367
59,700,rattay_01,88.20878580996866,2.2379999999999995,3.3157894736842106
59,700,rattay_01,93.80934363917301,2.2039999999999993,3.526315789473684
59,700,rattay_01,99.40990146837737,2.1849999999999996,3.736842105263158
59,700,rattay_01,105.01045929758173,2.1729999999999996,3.947368421052632
59,700,rattay_01,110.61101712678611,2.1649999999999996,4.157894736842105
59,700,rattay_01,116.21157495599046,2.1589999999999994,4.368421052631579
59,700,rattay_01,121.8121327851948,2.1539999999999995,4.578947368421052
59,700,rattay_01,127.41269061439914,2.149,4.789473684210525
59,700,rattay_01,133.01324844360352,2.1459999999999995,5.0
59,1000,rattay_01,89.38162452296206,2.5500000000000003,1.2105263157894737
59,1000,rattay_01,104.92625487478155,2.2769999999999997,1.4210526315789473
59,1000,rattay_01,120.47088522660104,2.1909999999999994,1.631578947368421
59,1000,rattay_01,136.01551557842052,2.1659999999999995,1.8421052631578947
59,1000,rattay_01,151.56014593024,2.1529999999999996,2.052631578947368
59,1000,rattay_01,167.1047762820595,2.144999999999999,2.263157894736842
59,1000,rattay_01,182.649406633879,2.1389999999999993,2.473684210526316
59,1000,rattay_01,198.19403698569846,2.1339999999999995,2.6842105263157894
59,1000,rattay_01,213.73866733751794,2.13,2.894736842105263
59,1000,rattay_01,229.28329768933745,2.1269999999999993,3.1052631578947367
59,1000,rattay_01,244.82792804115698,2.125,3.3157894736842106
59,1000,rattay_01,260.37255839297643,2.122,3.526315789473684
59,1000,rattay_01,275.9171887447959,2.1199999999999997,3.7368421052631575
59,1000,rattay_01,291.46181909661544,2.118,3.9473684210526314
59,1000,rattay_01,307.0064494484349,2.117,4.157894736842105
59,1000,rattay_01,322.5510798002544,2.1149999999999998,4.368421052631579
59,1000,rattay_01,338.0957101520739,2.1139999999999994,4.578947368421052
59,1000,rattay_01,353.6403405038933,2.112,4.789473684210526
59,1000,rattay_01,369.1849708557129,2.111,5.0
59,1500,rattay_01,158.1915447194325,2.2950000000000004,1.2105263157894737
59,1500,rattay_01,185.70311771411642,2.189,1.4210526315789473
59,1500,rattay_01,213.21469070880033,2.162,1.631578947368421
59,1500,rattay_01,240.72626370348425,2.15,1.8421052631578947
59,1500,rattay_01,268.23783669816817,2.1409999999999996,2.052631578947368
59,1500,rattay_01,295.74940969285205,2.135,2.263157894736842
59,1500,rattay_01,323.260982687536,2.1310000000000002,2.473684210526316
59,1500,rattay_01,350.77255568221995,2.1269999999999993,2.6842105263157894
59,1500,rattay_01,378.28412867690383,2.124,2.894736842105263
59,1500,rattay_01,405.7957016715877,2.1209999999999996,3.1052631578947367
59,1500,rattay_01,433.30727466627167,2.1189999999999993,3.3157894736842106
59,1500,rattay_01,460.81884766095556,2.117,3.526315789473684
59,1500,rattay_01,488.3304206556395,2.1149999999999998,3.7368421052631575
59,1500,rattay_01,515.8419936503234,2.1129999999999995,3.947368421052632
59,1500,rattay_01,543.3535666450074,2.112,4.157894736842105
59,1500,rattay_01,570.8651396396913,2.11,4.368421052631579
59,1500,rattay_01,598.376712634375,2.109,4.578947368421052
59,1500,rattay_01,625.888285629059,2.1079999999999997,4.789473684210526
59,1500,rattay_01,653.399858623743,2.1069999999999993,5.0
59,2000,rattay_01,272.57760069087936,2.2109999999999994,1.2105263157894737
59,2000,rattay_01,319.98240081103233,2.1679999999999997,1.4210526315789473
59,2000,rattay_01,367.38720093118525,2.1519999999999992,1.631578947368421
59,2000,rattay_01,414.7920010513382,2.142,1.8421052631578947
