model_name,neuron_number,duration,spikes,nof_pulses
briaire_05,189,0.11108,0.038604999999999993,100
briaire_05,189,0.11108,0.0416,100
briaire_05,189,0.11108,0.044605,100
briaire_05,189,0.11108,0.047599999999999996,100
briaire_05,189,0.11108,0.050605,100
briaire_05,189,0.11108,0.053599999999999995,100
briaire_05,189,0.11108,0.056604999999999996,100
briaire_05,189,0.11108,0.05959999999999999,100
briaire_05,189,0.11108,0.062605,100
briaire_05,189,0.11108,0.06559999999999999,100
briaire_05,189,0.11108,0.068605,100
briaire_05,189,0.11108,0.0716,100
briaire_05,189,0.11108,0.07460499999999999,100
briaire_05,189,0.11108,0.07759999999999999,100
briaire_05,189,0.11108,0.080605,100
briaire_05,189,0.11108,0.0836,100
briaire_05,189,0.11108,0.08660499999999999,100
briaire_05,189,0.11108,0.08959999999999999,100
briaire_05,189,0.11108,0.09260499999999999,100
briaire_05,189,0.11108,0.09559999999999999,100
briaire_05,189,0.11108,0.098605,100
briaire_05,189,0.11108,0.1016,100
briaire_05,190,0.11108,0.002535,100
briaire_05,191,0.11108,0.002535,100
briaire_05,191,0.11108,0.005639999999999999,100
briaire_05,191,0.11108,0.008655,100
briaire_05,191,0.11108,0.011619999999999998,100
briaire_05,191,0.11108,0.014684999999999998,100
briaire_05,191,0.11108,0.017619999999999997,100
briaire_05,191,0.11108,0.020689999999999997,100
briaire_05,191,0.11108,0.02362,100
briaire_05,191,0.11108,0.02669,100
briaire_05,191,0.11108,0.029619999999999997,100
briaire_05,191,0.11108,0.03269,100
briaire_05,191,0.11108,0.03562,100
briaire_05,191,0.11108,0.038689999999999995,100
briaire_05,191,0.11108,0.04162,100
briaire_05,191,0.11108,0.044689999999999994,100
briaire_05,191,0.11108,0.047619999999999996,100
briaire_05,191,0.11108,0.05069,100
briaire_05,191,0.11108,0.053619999999999994,100
briaire_05,191,0.11108,0.05669,100
briaire_05,191,0.11108,0.05961999999999999,100
briaire_05,191,0.11108,0.06269,100
briaire_05,191,0.11108,0.06562,100
briaire_05,191,0.11108,0.06868999999999999,100
briaire_05,191,0.11108,0.07161999999999999,100
briaire_05,191,0.11108,0.07468999999999999,100
briaire_05,191,0.11108,0.07762,100
briaire_05,191,0.11108,0.08069,100
briaire_05,191,0.11108,0.08361999999999999,100
briaire_05,191,0.11108,0.08668999999999999,100
briaire_05,191,0.11108,0.08961999999999999,100
briaire_05,191,0.11108,0.09269,100
briaire_05,191,0.11108,0.09562,100
briaire_05,191,0.11108,0.09868999999999999,100
briaire_05,191,0.11108,0.10161999999999999,100
briaire_05,192,0.11108,0.002535,100
briaire_05,193,0.11108,0.0025499999999999997,100
briaire_05,194,0.11108,0.0026249999999999997,100
briaire_05,195,0.11108,0.0025599999999999998,100
briaire_05,203,0.11108,0.0025299999999999997,100
briaire_05,203,0.11108,0.00458,100
briaire_05,203,0.11108,0.006579999999999999,100
briaire_05,203,0.11108,0.008579999999999999,100
briaire_05,203,0.11108,0.010579999999999999,100
briaire_05,203,0.11108,0.01258,100
briaire_05,203,0.11108,0.01458,100
briaire_05,203,0.11108,0.016579999999999998,100
briaire_05,203,0.11108,0.01858,100
briaire_05,203,0.11108,0.020579999999999998,100
briaire_05,203,0.11108,0.02258,100
briaire_05,203,0.11108,0.024579999999999998,100
briaire_05,203,0.11108,0.026579999999999996,100
briaire_05,203,0.11108,0.028579999999999998,100
briaire_05,203,0.11108,0.030579999999999996,100
briaire_05,203,0.11108,0.03258,100
briaire_05,203,0.11108,0.03458,100
briaire_05,203,0.11108,0.036579999999999994,100
briaire_05,203,0.11108,0.038579999999999996,100
briaire_05,203,0.11108,0.04058,100
briaire_05,203,0.11108,0.04257999999999999,100
briaire_05,203,0.11108,0.044579999999999995,100
briaire_05,203,0.11108,0.046579999999999996,100
briaire_05,203,0.11108,0.04858,100
briaire_05,203,0.11108,0.05057999999999999,100
briaire_05,203,0.11108,0.052579999999999995,100
briaire_05,203,0.11108,0.05458,100
briaire_05,203,0.11108,0.05658,100
briaire_05,203,0.11108,0.05857999999999999,100
briaire_05,203,0.11108,0.060579999999999995,100
briaire_05,203,0.11108,0.06258,100
briaire_05,203,0.11108,0.06458,100
briaire_05,203,0.11108,0.06658,100
briaire_05,203,0.11108,0.06857999999999999,100
briaire_05,203,0.11108,0.07057999999999999,100
briaire_05,203,0.11108,0.07257999999999999,100
briaire_05,203,0.11108,0.07458,100
briaire_05,203,0.11108,0.07658,100
briaire_05,203,0.11108,0.07858,100
briaire_05,203,0.11108,0.08058,100
briaire_05,203,0.11108,0.08257999999999999,100
briaire_05,203,0.11108,0.08457999999999999,100
briaire_05,203,0.11108,0.08657999999999999,100
briaire_05,203,0.11108,0.08857999999999999,100
briaire_05,203,0.11108,0.09058,100
briaire_05,203,0.11108,0.09258,100
briaire_05,203,0.11108,0.09458,100
briaire_05,203,0.11108,0.09657999999999999,100
