stimulation info,run,time / ms,membrane potential / mV
40 us; monophasic; threshold,5.0,0.07999999999999999,-66.04794754212354
40 us; monophasic; threshold,6.0,0.07999999999999999,-64.32251052118826
40 us; monophasic; threshold,7.0,0.07999999999999999,-64.12757556441076
40 us; monophasic; threshold,8.0,0.07999999999999999,-64.11588410799082
40 us; monophasic; threshold,9.0,0.07999999999999999,-63.92486291944188
40 us; monophasic; threshold,0.0,0.08499999999999999,-64.26035058000129
40 us; monophasic; threshold,1.0,0.08499999999999999,-64.92519853381695
40 us; monophasic; threshold,2.0,0.08499999999999999,-65.4200267304606
40 us; monophasic; threshold,3.0,0.08499999999999999,-65.9817854422808
40 us; monophasic; threshold,4.0,0.08499999999999999,-65.07598687087673
40 us; monophasic; threshold,5.0,0.08499999999999999,-65.96280695748534
40 us; monophasic; threshold,6.0,0.08499999999999999,-64.02542565818175
40 us; monophasic; threshold,7.0,0.08499999999999999,-63.84262842259364
40 us; monophasic; threshold,8.0,0.08499999999999999,-64.11988884377065
40 us; monophasic; threshold,9.0,0.08499999999999999,-63.85596643954197
40 us; monophasic; threshold,0.0,0.09,-64.40608924488738
40 us; monophasic; threshold,1.0,0.09,-64.87817158858441
40 us; monophasic; threshold,2.0,0.09,-65.55089768861642
40 us; monophasic; threshold,3.0,0.09,-66.00395787143096
40 us; monophasic; threshold,4.0,0.09,-64.94300396466382
40 us; monophasic; threshold,5.0,0.09,-65.8667513198151
40 us; monophasic; threshold,6.0,0.09,-63.904114986831374
40 us; monophasic; threshold,7.0,0.09,-63.722919050178554
40 us; monophasic; threshold,8.0,0.09,-64.09784239349186
40 us; monophasic; threshold,9.0,0.09,-63.884026224995836
40 us; monophasic; threshold,0.0,0.09499999999999999,-64.41246174751103
40 us; monophasic; threshold,1.0,0.09499999999999999,-64.55278757021159
40 us; monophasic; threshold,2.0,0.09499999999999999,-65.63977201972094
40 us; monophasic; threshold,3.0,0.09499999999999999,-65.64085303721386
40 us; monophasic; threshold,4.0,0.09499999999999999,-65.03276735135708
40 us; monophasic; threshold,5.0,0.09499999999999999,-65.56677881979579
40 us; monophasic; threshold,6.0,0.09499999999999999,-63.78341641910827
40 us; monophasic; threshold,7.0,0.09499999999999999,-64.09264662294453
40 us; monophasic; threshold,8.0,0.09499999999999999,-64.25196977226476
40 us; monophasic; threshold,9.0,0.09499999999999999,-63.76049902991124
40 us; monophasic; threshold,0.0,0.09999999999999999,-64.22129170680954
40 us; monophasic; threshold,1.0,0.09999999999999999,-64.59717044715975
40 us; monophasic; threshold,2.0,0.09999999999999999,-65.49905976743518
40 us; monophasic; threshold,3.0,0.09999999999999999,-65.23789576295627
40 us; monophasic; threshold,4.0,0.09999999999999999,-64.88475119973846
40 us; monophasic; threshold,5.0,0.09999999999999999,-65.34147853518188
40 us; monophasic; threshold,6.0,0.09999999999999999,-63.978376259439834
40 us; monophasic; threshold,7.0,0.09999999999999999,-64.29232692245468
40 us; monophasic; threshold,8.0,0.09999999999999999,-64.2312364735022
40 us; monophasic; threshold,9.0,0.09999999999999999,-63.63932243782763
40 us; monophasic; threshold,0.0,0.10499999999999998,-64.0297161587817
40 us; monophasic; threshold,1.0,0.10499999999999998,-64.48606870782287
40 us; monophasic; threshold,2.0,0.10499999999999998,-64.96334106656441
40 us; monophasic; threshold,3.0,0.10499999999999998,-64.84893644612814
40 us; monophasic; threshold,4.0,0.10499999999999998,-64.88844565981647
40 us; monophasic; threshold,5.0,0.10499999999999998,-64.99034323043846
40 us; monophasic; threshold,6.0,0.10499999999999998,-64.22325770450992
40 us; monophasic; threshold,7.0,0.10499999999999998,-64.52482700052494
40 us; monophasic; threshold,8.0,0.10499999999999998,-63.962167013050156
40 us; monophasic; threshold,9.0,0.10499999999999998,-63.41021743074809
40 us; monophasic; threshold,0.0,0.10999999999999999,-64.12116954366198
40 us; monophasic; threshold,1.0,0.10999999999999999,-64.51383206258643
40 us; monophasic; threshold,2.0,0.10999999999999999,-64.69393076498572
40 us; monophasic; threshold,3.0,0.10999999999999999,-64.91493721100757
40 us; monophasic; threshold,4.0,0.10999999999999999,-64.93706274769994
40 us; monophasic; threshold,5.0,0.10999999999999999,-64.86291784004428
40 us; monophasic; threshold,6.0,0.10999999999999999,-64.59952348301917
40 us; monophasic; threshold,7.0,0.10999999999999999,-64.57168287745826
40 us; monophasic; threshold,8.0,0.10999999999999999,-63.91074913539045
40 us; monophasic; threshold,9.0,0.10999999999999999,-63.479106410839925
40 us; monophasic; threshold,0.0,0.11499999999999999,-64.24170183069391
40 us; monophasic; threshold,1.0,0.11499999999999999,-64.40889026893423
40 us; monophasic; threshold,2.0,0.11499999999999999,-64.71819403320052
40 us; monophasic; threshold,3.0,0.11499999999999999,-64.79866339627846
40 us; monophasic; threshold,4.0,0.11499999999999999,-65.03423136207205
40 us; monophasic; threshold,5.0,0.11499999999999999,-64.81105859141893
40 us; monophasic; threshold,6.0,0.11499999999999999,-64.60806865030034
40 us; monophasic; threshold,7.0,0.11499999999999999,-64.58645679317682
40 us; monophasic; threshold,8.0,0.11499999999999999,-64.10212164851627
40 us; monophasic; threshold,9.0,0.11499999999999999,-63.35450075639028
40 us; monophasic; threshold,0.0,0.11999999999999998,-64.4882479978908
40 us; monophasic; threshold,1.0,0.11999999999999998,-64.46075101659648
40 us; monophasic; threshold,2.0,0.11999999999999998,-64.8822070361761
40 us; monophasic; threshold,3.0,0.11999999999999998,-64.67658968346949
40 us; monophasic; threshold,4.0,0.11999999999999998,-64.95014993880947
40 us; monophasic; threshold,5.0,0.11999999999999998,-65.00536129897156
40 us; monophasic; threshold,6.0,0.11999999999999998,-64.54392300948226
40 us; monophasic; threshold,7.0,0.11999999999999998,-64.35398991441612
40 us; monophasic; threshold,8.0,0.11999999999999998,-64.2970516176137
40 us; monophasic; threshold,9.0,0.11999999999999998,-63.72603350449887
40 us; monophasic; threshold,0.0,0.125,-64.63787466314848
40 us; monophasic; threshold,1.0,0.125,-64.44670493303542
40 us; monophasic; threshold,2.0,0.125,-64.72180664320999
40 us; monophasic; threshold,3.0,0.125,-64.86859159803244
40 us; monophasic; threshold,4.0,0.125,-64.69425209798224
40 us; monophasic; threshold,5.0,0.125,-65.15067525057792
40 us; monophasic; threshold,6.0,0.125,-64.35678811337709
40 us; monophasic; threshold,7.0,0.125,-64.6145527106481
40 us; monophasic; threshold,8.0,0.125,-64.2852593936811
40 us; monophasic; threshold,9.0,0.125,-63.93941490489213
40 us; monophasic; threshold,0.0,0.12999999999999998,-64.6275842158307
40 us; monophasic; threshold,1.0,0.12999999999999998,-64.29704969205397
40 us; monophasic; threshold,2.0,0.12999999999999998,-64.49274044288568
40 us; monophasic; threshold,3.0,0.12999999999999998,-64.95429709224842
40 us; monophasic; threshold,4.0,0.12999999999999998,-64.54003232996855
40 us; monophasic; threshold,5.0,0.12999999999999998,-65.20469561033167
40 us; monophasic; threshold,6.0,0.12999999999999998,-64.28955274503775
40 us; monophasic; threshold,7.0,0.12999999999999998,-64.84813162754983
40 us; monophasic; threshold,8.0,0.12999999999999998,-64.16899949806486
40 us; monophasic; threshold,9.0,0.12999999999999998,-64.12821989384916
40 us; monophasic; threshold,0.0,0.13499999999999998,-64.52238016487372
40 us; monophasic; threshold,1.0,0.13499999999999998,-64.29557142538086
40 us; monophasic; threshold,2.0,0.13499999999999998,-64.55172182749925
40 us; monophasic; threshold,3.0,0.13499999999999998,-65.06563624126255
40 us; monophasic; threshold,4.0,0.13499999999999998,-64.16728073442992
40 us; monophasic; threshold,5.0,0.13499999999999998,-65.04573186545095
40 us; monophasic; threshold,6.0,0.13499999999999998,-64.22873268921238
40 us; monophasic; threshold,7.0,0.13499999999999998,-64.80936538527772
40 us; monophasic; threshold,8.0,0.13499999999999998,-64.2453989485777
40 us; monophasic; threshold,9.0,0.13499999999999998,-64.13028139631741
40 us; monophasic; threshold,0.0,0.13999999999999999,-64.6499970315233
40 us; monophasic; threshold,1.0,0.13999999999999999,-64.38408367497789
40 us; monophasic; threshold,2.0,0.13999999999999999,-64.4584692981844
40 us; monophasic; threshold,3.0,0.13999999999999999,-65.25168299668827
40 us; monophasic; threshold,4.0,0.13999999999999999,-64.12834932418949
40 us; monophasic; threshold,5.0,0.13999999999999999,-64.79218344841112
40 us; monophasic; threshold,6.0,0.13999999999999999,-64.45895717895667
40 us; monophasic; threshold,7.0,0.13999999999999999,-64.98428486556058
40 us; monophasic; threshold,8.0,0.13999999999999999,-64.16043712707847
40 us; monophasic; threshold,9.0,0.13999999999999999,-64.13560638866541
40 us; monophasic; threshold,0.0,0.145,-64.49678509505804
40 us; monophasic; threshold,1.0,0.145,-64.60755841627224
40 us; monophasic; threshold,2.0,0.145,-64.65996130339367
40 us; monophasic; threshold,3.0,0.145,-65.26745600951844
40 us; monophasic; threshold,4.0,0.145,-64.25338678565238
40 us; monophasic; threshold,5.0,0.145,-64.73714853220523
40 us; monophasic; threshold,6.0,0.145,-64.61920325740282
40 us; monophasic; threshold,7.0,0.145,-64.92093636925907
40 us; monophasic; threshold,8.0,0.145,-64.04854799919727
40 us; monophasic; threshold,9.0,0.145,-64.14839382117849
40 us; monophasic; threshold,0.0,0.15,-64.45294900724261
40 us; monophasic; threshold,1.0,0.15,-64.38856140433235
40 us; monophasic; threshold,2.0,0.15,-64.57525018950244
40 us; monophasic; threshold,3.0,0.15,-65.25390033215736
40 us; monophasic; threshold,4.0,0.15,-64.45804721965656
40 us; monophasic; threshold,5.0,0.15,-64.74039970327195
40 us; monophasic; threshold,6.0,0.15,-64.65224477689131
40 us; monophasic; threshold,7.0,0.15,-64.98657861091549
40 us; monophasic; threshold,8.0,0.15,-63.95555714689899
40 us; monophasic; threshold,9.0,0.15,-64.22850764866375
40 us; monophasic; threshold,0.0,0.15499999999999997,-64.48241269579037
40 us; monophasic; threshold,1.0,0.15499999999999997,-64.34363759851055
40 us; monophasic; threshold,2.0,0.15499999999999997,-64.55904311519276
40 us; monophasic; threshold,3.0,0.15499999999999997,-65.48519291465689
40 us; monophasic; threshold,4.0,0.15499999999999997,-64.42520319200976
40 us; monophasic; threshold,5.0,0.15499999999999997,-64.65801190290642
40 us; monophasic; threshold,6.0,0.15499999999999997,-65.07866621639754
40 us; monophasic; threshold,7.0,0.15499999999999997,-64.92249962877433
40 us; monophasic; threshold,8.0,0.15499999999999997,-64.13884300654387
40 us; monophasic; threshold,9.0,0.15499999999999997,-64.27397083756638
40 us; monophasic; threshold,0.0,0.15999999999999998,-64.56120546306929
40 us; monophasic; threshold,1.0,0.15999999999999998,-64.13381547172192
40 us; monophasic; threshold,2.0,0.15999999999999998,-64.38950030516845
40 us; monophasic; threshold,3.0,0.15999999999999998,-65.43554234272852
